dancer_id,dance_id,dance_key,waggle_run,stimulus,notes,waggle_directions,start_x,start_y,start_xy,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,source_batch
22b,22b_00030,2025-01-19__22b_00030,4,vertical,,"(0.09392259459566807, 0.9955795027140815)",416,638,"(416, 638)",22b_00030_waggle_annotations.csv,17:04:00,20250119,0.0939225945956681,0.995579502714082,174.610688240027,1311,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,5,vertical,,"(-0.5926805276472258, 0.8054376401359734)",376,583,"(376, 583)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.592680527647226,0.805437640135973,216.347458208885,1363,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,6,vertical,,"(-0.3789759961459408, 0.9254065022168322)",455,602,"(455, 602)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.378975996145941,0.925406502216832,202.270267920055,1408,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,7,vertical,,"(-0.7592566023652966, 0.6507913734559685)",414,612,"(414, 612)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.759256602365297,0.650791373455969,229.398705354996,1456,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,8,vertical,,"(-0.20039623614870658, 0.9797149322825655)",480,614,"(480, 614)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.200396236148707,0.979714932282566,191.560130794218,1494,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,9,vertical,,"(-0.6952251158274647, 0.7187920689063618)",447,553,"(447, 553)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.695225115827465,0.718792068906362,224.045158746128,1537,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,10,vertical,,"(-0.32314385329151046, 0.946349856067995)",496,577,"(496, 577)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.32314385329151,0.946349856067995,198.853158764419,1577,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,11,vertical,,"(-0.6912226459673644, 0.7226418571476991)",451,524,"(451, 524)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.691222645967364,0.722641857147699,223.726969979943,1621,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,12,vertical,,"(-0.5780173407803391, 0.8160244811016552)",448,529,"(448, 529)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.578017340780339,0.816024481101655,215.311213439633,1667,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,13,vertical,,"(-0.7071067811865476, 0.7071067811865476)",441,449,"(441, 449)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.707106781186548,0.707106781186548,225,1723,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
