dancer_id,source_batch,dance_key,dance_id,waggle_run,stimulus,waggle_directions,start_x,start_y,start_xy,notes,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,calibration_file,calibration_id,calibration_video_name,calibration_n_annotations,calibration_mean_north_deg,calibration_circular_sd_deg,calibration_R,declination_deg,true_north_video_deg,calibration_notes,waggle_true_bearing_deg
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,7,,"(0.8247288518459779, -0.5655283555515277)",541,703,"(541, 703)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.8247288518459779,-0.5655283555515277,55.56101069119639,628,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,8,,"(0.9916720735252417, 0.1287885809773041)",598,693,"(598, 693)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.9916720735252416,0.1287885809773041,97.39959465988711,774,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,9,,"(0.9701425001453319, -0.24253562503633297)",629,707,"(629, 707)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.970142500145332,-0.2425356250363329,75.96375653207353,1235,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,10,,"(0.9988681377244376, 0.04756514941544941)",634,737,"(634, 737)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.9988681377244376,0.0475651494154494,92.72631099390628,1317,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,11,,"(0.935697286393792, -0.3528038948697904)",676,775,"(676, 775)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.935697286393792,-0.3528038948697904,69.34108993669251,1479,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,12,,"(0.06651901052377393, -0.9977851578566089)",653,781,"(653, 781)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.0665190105237739,-0.9977851578566088,3.8140748342903534,1551,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,13,,"(0.8879944092772878, -0.4598542476614526)",707,716,"(707, 716)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.8879944092772878,-0.4598542476614526,62.62229722866828,1680,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,1,,"(0.3328201177351375, -0.9429903335828895)",1076,660,"(1076, 660)",,66b_00013_waggle_annotations.csv,,,0.3328201177351375,-0.9429903335828896,19.44003482817619,45,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,2,,"(0.2982749931359468, -0.9544799780350297)",1086,612,"(1086, 612)",,66b_00013_waggle_annotations.csv,,,0.2982749931359468,-0.9544799780350296,17.35402463626132,221,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
66b,2025-01-27,2025-01-27__66b_00013,66b_00013,3,,"(0.6246950475544243, -0.7808688094430304)",997,669,"(997, 669)",,66b_00013_waggle_annotations.csv,,,0.6246950475544243,-0.7808688094430304,38.65980825409009,268,E:\2026Trackathon\James\mp4\20250127\00013.mp4,1,,,,,,,,,,,
