recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,annotation_session,notes,orientation_notes,calibration_video_name,calibration_R,declination_deg,calibration_notes,orientation_block,21_calibration_11-21-50_waggle_annotations.csv
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,15,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9998347517133227,-0.01817881366751496,271.04162667600997,213.04443517166823,57.99719150434174,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,964,706,"(964, 706)",662,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,16,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9629640197141817,0.2696299255199709,254.35775354279127,213.04443517166823,41.313318371123046,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,874,692,"(874, 692)",713,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,17,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-1.0,0.0,270.0,213.04443517166823,56.955564828331774,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,939,705,"(939, 705)",748,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,18,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.970142500145332,0.242535625036333,255.96375653207352,213.04443517166823,42.91932136040529,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,915,687,"(915, 687)",795,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,19,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9863939238321437,-0.1643989873053573,279.4623222080256,213.04443517166823,66.4178870363574,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,905,726,"(905, 726)",840,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,20,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9979253089684582,-0.06438227799796505,273.6913859864513,213.04443517166823,60.646950814783054,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,930,743,"(930, 743)",899,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,21,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9953071617667048,-0.09676597406065185,275.5529710330368,213.04443517166823,62.50853586136856,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,936,732,"(936, 732)",947,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,22,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9993394979464321,-0.036339618107142986,272.0825652797309,213.04443517166823,59.03813010806266,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,906,711,"(906, 711)",995,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,23,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9980525784828885,-0.06237828615518053,273.5763343749974,213.04443517166823,60.53189920332915,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,876,726,"(876, 726)",1045,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,24,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9994629430332294,-0.03276927682076162,271.87787744728536,213.04443517166823,58.83344227561713,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,884,718,"(884, 718)",1092,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
