recording_type,source_file_type,source_batch,dancer_id,bee_id,dance_id,dance_key,waggle_run,stimulus,condition,notes,date,time_dance,csv_file,video_name,waggle_directions,direction_u,direction_v,video_angle_deg,start_x,start_y,start_xy,start_frame,annotation_session,orientation_method,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,sun_azimuth_deg,sun_elevation_deg,vertical_angle_corrected_deg,comb_skew_correction_status
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,18,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.548026257310873, 0.8364611295797535)",-0.548026257310873,0.836461129579754,213.231711067979,776,492,"(776.0, 492.0)",1230,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,19,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.8395701571521512, 0.5432512781572743)",-0.839570157152151,0.543251278157274,237.094757077012,758,444,"(758.0, 444.0)",1275,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,20,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.23822152779764846, 0.9712108440981052)",-0.238221527797648,0.971210844098105,193.781597235654,813,436,"(813.0, 436.0)",1319,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,21,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.10748184298009181, 0.9942070475658493)",-0.107481842980092,0.994207047565849,186.17017509503,390,558,"(390.0, 558.0)",1489,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,22,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.8886206570548637, 0.45864291977025223)",-0.888620657054864,0.458642919770252,242.700427788667,383,598,"(383.0, 598.0)",1542,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,23,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.31622776601683794, 0.9486832980505138)",-0.316227766016838,0.948683298050514,198.434948822922,375,607,"(375.0, 607.0)",1580,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,24,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.7474093186836597, 0.6643638388299198)",-0.74740931868366,0.66436383882992,228.36646066343,344,626,"(344.0, 626.0)",1619,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,25,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.5449883505954141, 0.838443616300637)",-0.544988350595414,0.838443616300637,213.023867555797,339,629,"(339.0, 629.0)",1665,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,26,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.5057194997124201, 0.862697970097658)",-0.50571949971242,0.862697970097658,210.379126011368,328,655,"(328.0, 655.0)",1709,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,27,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.4819187497721559, 0.8762159086766471)",-0.481918749772156,0.876215908676647,208.810793742973,333,673,"(333.0, 673.0)",1748,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,28,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.6316729511622358, 0.7752349855172893)",-0.631672951162236,0.775234985517289,219.173657970444,339,644,"(339.0, 644.0)",1799,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,29,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.26592899812581344, 0.9639926182060737)",-0.265928998125813,0.963992618206074,195.422161318739,391,675,"(391.0, 675.0)",1842,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,30,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.42905681456828765, 0.9032775043542898)",-0.429056814568288,0.90327750435429,205.407718108948,358,664,"(358.0, 664.0)",1884,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,31,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.5655283555515277, 0.8247288518459779)",-0.565528355551528,0.824728851845978,214.438989308804,358,678,"(358.0, 678.0)",1934,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,32,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.5665288228870652, 0.8240419241993676)",-0.566528822887065,0.824041924199368,214.508522987668,339,678,"(339.0, 678.0)",1988,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,33,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.22485950669875843, 0.9743911956946198)",-0.224859506698758,0.97439119569462,192.994616791917,369,656,"(369.0, 656.0)",2030,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,34,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.43556092810428076, 0.9001592514155136)",-0.435560928104281,0.900159251415514,205.820991974189,189,635,"(189.0, 635.0)",2106,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00030,vertical_20250119__22b__22b_00030,1,,vertical,,20250119,17:03:00,22b_00030_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,"(-0.5658424969124141, 0.8245133526438033)",-0.565842496912414,0.824513352643803,214.460816271372,317,618,"(317.0, 618.0)",1171,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00030,vertical_20250119__22b__22b_00030,2,,vertical,,20250119,17:03:00,22b_00030_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,"(0.6074501075707971, 0.7943578329771962)",0.607450107570797,0.794357832977196,142.594643368591,343,634,"(343.0, 634.0)",1214,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
